Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Kelly Wharton,F,SBD,Raw,60.5,60-64,60-69,Masters 3,61.6,63,95,102.5,107.5,,107.5,47.5,52.5,55,,55,107.5,115,122.5,,122.5,285,1,310.78,311.36,275.01,63.28,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Susan Bonneau,F,SBD,Raw,63,60-64,60-69,Masters 3,97.75,84+,100,108,113,,113,45,53,58,,58,105,115.5,-120.5,,115.5,286.5,1,246.69,240.20,206.93,51.42,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Patrick Rodrigue,M,SBD,Raw,44.5,40-44,40-49,Masters 1,81.35,83,195,207.5,-212.5,,207.5,117.5,-125,-125,,117.5,230,245,-255,,245,570,4,389.22,385.11,370.79,79.71,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Alexa Sperske,F,SBD,Raw,40.5,40-44,40-49,Masters 1,68.9,69,-145,145,153,,153,75,77.5,-80,,77.5,180,190.5,195.5,,195.5,426,1,434.66,428.50,377.85,88.33,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Kayla Casey,F,SBD,Raw,35.5,35-39,24-39,Open,56.3,57,145,150.5,154,,154,88,93,95,,95,160,170,-180,,170,419,1,483.96,490.94,434.21,99.21,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
David Noma,M,SBD,Raw,40.5,40-44,40-49,Masters 1,97.7,105,175,200,220,,220,125,150,157.5,,157.5,175,215,225,,225,602.5,1,374.67,370.20,353.75,76.96,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Danielle Hussey,F,SBD,Single-ply,46.5,45-49,40-49,Masters 1,56.76,57,145.5,-155.5,-155.5,,145.5,-80,80,82.5,,82.5,132.5,140,-145,,140,368,1,422.78,428.44,378.87,70.73,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Linda Rousseau,F,SBD,Raw,69.5,65-69,70-999,Masters 4,78.7,84,95,100.5,-117,,100.5,45,50,-52.5,,50,110,-117.5,117.5,,117.5,268,2,254.61,247.51,217.25,52.00,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Arlene van Diepen,F,SBD,Raw,65,65-69,60-69,Masters 3,63.9,69,90,95,98,,98,50,52.5,-55,,52.5,127.5,137.5,143,,143,293.5,1,312.96,311.86,275.32,63.64,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Jay McGrath,M,SBD,Raw,54.5,50-54,50-59,Masters 2,65.7,66,155,165,168,,168,108,-113,-113,,108,172.5,182.5,187.5,,187.5,463.5,1,364.40,365.31,355.05,72.43,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Erik Willis,M,SBD,Raw,33,24-34,24-39,Open,126.45,120+,265,280,295,,295,230,240,-245,,240,330,355,-371,,355,890,2,502.59,506.00,484.07,101.16,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Mike Forster,M,SBD,Raw,62.5,60-64,60-69,Masters 3,125.25,120+,-217.5,217.5,225.5,,225.5,117.5,122.5,127.5,,127.5,220,-227.5,233,,233,586,1,331.91,333.79,319.37,66.87,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Simone Lai,F,SBD,Single-ply,31.5,24-34,24-39,Open,50.5,52,155,165,170.5,,170.5,75,-80,80,,80,152.5,162.5,-167.5,,162.5,413,1,513.85,526.56,467.33,85.85,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Krystan Hosein,M,SBD,Raw,35.5,35-39,24-39,Open,73.9,74,225,237.5,245,,245,132.5,-137.5,-137.5,,132.5,260,275,287.5,,287.5,665,2,481.65,478.80,462.93,97.70,Yes,Trinidad and Tobago,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Joanna Rieber,F,SBD,Raw,46.5,45-49,40-49,Masters 1,51.5,52,137.5,145,150,,150,90,97.5,-103,,97.5,147.5,157.5,165,,165,412.5,1,506.20,518.08,459.41,105.03,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Brian Rock,M,SBD,Raw,63.5,60-64,60-69,Masters 3,115.65,120,185,195,205.5,,205.5,167.5,175.5,-183,,175.5,180,190,200,,200,581,1,337.91,337.09,322.73,68.65,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Carol Brady,F,SBD,Single-ply,72.5,70-74,70-999,Masters 4,66.15,69,-95,95,-102.5,,95,-62.5,62.5,-67.5,,62.5,102.5,110.5,-118,,110.5,268,1,279.95,277.56,244.92,47.10,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Michael Tuchscherer,M,SBD,Raw,38,35-39,24-39,Open,119.55,120,-300,300,317.5,,317.5,192.5,202.5,-207.5,,202.5,347.5,367.5,-386.5,,367.5,887.5,2,510.34,510.69,489.36,103.34,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
John MacDonald #1,M,SBD,Single-ply,,,40-49,Masters 1,119.35,120,320,330,-340,,330,235,245,,,245,245,275,302.5,,302.5,877.5,1,504.87,505.14,484.02,84.98,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Phil Brown,M,SBD,Raw,54.5,50-54,50-59,Masters 2,62.25,66,115,127.5,140,,140,65,67.5,70,,70,160,172.5,182.5,,182.5,392.5,2,321.61,323.90,315.66,63.11,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Phil Brown,M,SBD,Raw,54.5,50-54,50-59,Special Olympics,62.25,66,115,127.5,140,,140,65,67.5,70,,70,160,172.5,182.5,,182.5,392.5,1,321.61,323.90,315.66,63.11,Yes,Canada,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Robert Fuller,M,SBD,Raw,52.5,50-54,50-59,Masters 2,151.75,120+,235,250,-257,,250,157.5,167.5,174,,174,247.5,267.5,276,,276,700,1,375.27,386.67,365.27,73.97,Yes,Puerto Rico,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Miguel Ruiz,M,SBD,Raw,22.5,20-23,19-23,Juniors,71.22,74,162.5,170,180,,180,115,117.5,122.5,,122.5,192.5,200,-207.5,,200,502.5,4,373.01,371.68,359.93,75.26,Yes,Puerto Rico,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Dale Garlitz,M,SBD,Raw,73,70-74,70-999,Masters 4,72.05,74,152.5,162.5,165,,165,97.5,102.5,105,,105,172.5,180,185,,185,455,1,335.12,333.67,322.96,67.73,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Ray Williams #1,M,SBD,Raw,36,35-39,24-39,Open,197.5,120+,415,440,-455,,440,215,225,235,,235,320,-330,-330,,320,995,1,499.12,529.24,493.95,96.28,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Layne Norton,M,SBD,Raw,41.5,40-44,40-49,Masters 1,92.25,93,255,270,280,,280,155,165,167.5,,167.5,288,308,320.5,,320.5,768,2,490.56,484.32,463.70,100.87,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Susan Elwyn,F,SBD,Single-ply,75.5,75-79,70-999,Masters 4,46.75,47,80,-95.5,95.5,,95.5,35,40,-42.5,,40,105,117.5,125.5,,125.5,261,1,343.41,352.37,314.24,57.42,Yes,US Virgin Islands,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Susan Elwyn,F,SBD,Raw,75.5,75-79,70-999,Masters 4,46.6,47,65,75,77.5,,77.5,30,-35,35,,35,102.5,-112.5,-120.5,,102.5,215,1,283.56,290.93,259.52,60.11,Yes,US Virgin Islands,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
John LaFlamme,M,SBD,Raw,72,70-74,70-999,Masters 4,82.15,83,175,185,193.5,,193.5,90,97.5,102.5,,102.5,200,220,231,,231,527,1,357.85,353.94,340.63,73.33,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
