Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Alfredo Velez,M,SBD,Raw,41.5,40-44,40-49,Masters 1,106.15,120,-225,225,235,,235,150,160,-170,,160,220,230,-232.5,,230,625,1,375.30,372.07,355.33,76.78,Yes,Bolivia,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Santiago Harrington,M,SBD,Raw,18.5,18-19,19-23,Juniors,119.15,120,217.5,235,245,,245,150,157.5,162.5,,162.5,225,-240,-240,,225,632.5,2,364.11,364.25,349.01,73.75,Yes,Uruguay,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Jorge Severino,M,SBD,Raw,22.5,20-23,19-23,Juniors,105.5,120,220,235,242.5,,242.5,130,137.5,-142.5,,137.5,235,252.5,262.5,,262.5,642.5,1,386.75,383.29,366.02,79.15,Yes,Peru,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Salvador Albornoz,M,SBD,Raw,18.5,18-19,19-23,Juniors,101.15,105,217.5,232.5,240,,240,132.5,-137.5,-137.5,,132.5,237.5,252.5,-265,,252.5,625,5,382.81,378.66,361.61,78.53,Yes,Uruguay,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Gabriel Lopez #8,M,SBD,Raw,20.5,20-23,19-23,Juniors,94.75,105,235,-250,250,,250,135,142.5,-150,,142.5,215,235,245,,245,637.5,4,402.04,397.02,379.73,82.65,Yes,Peru,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Joaquin Barrios,M,SBD,Raw,20.5,20-23,19-23,Juniors,104.2,105,270,287.5,-300,,287.5,165,172.5,-175,,172.5,257.5,275,-287.5,,275,735,2,444.65,440.39,420.52,91.07,Yes,Uruguay,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Leandro Chacalluca,M,SBD,Raw,18,18-19,14-18,Sub-Juniors,96.1,105,130,145,-150,,145,80,85,-90,,85,170,180,-200,,180,410,2,256.88,253.72,242.56,52.79,Yes,Bolivia,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Jhoel Carlos Camacho,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,95.2,105,-160,160,-170,,160,90,100,105,,105,160,180,-200,,180,445,1,280.02,276.54,264.45,57.56,Yes,Bolivia,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Nicolas Mondelli,M,SBD,Raw,28.5,24-34,24-39,Open,102.8,105,240,257.5,270,,270,157.5,167.5,-170,,167.5,260,280,290,,290,727.5,3,442.57,438.06,418.28,90.71,Yes,Uruguay,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
Roy Herrera,M,SBD,Raw,57.5,55-59,50-59,Masters 2,83.15,93,-100,100,110,,110,100,110,-115,,110,110,112.5,130,,130,350,2,236.04,233.38,224.47,48.41,Yes,Bolivia,,FESUPO,IPF,2023-09-06,Peru,,Lima,South American Classic Powerlifting Championships,Yes
