Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Austin Perkins #2,M,SBD,Single-ply,,,,Boys,53.07,55.7,,,,,111.13,,,,,70.31,,,,,120.2,301.64,2,283.44,289.80,285.06,47.83,Yes,USA,,THSPA,,2015-02-06,USA,TX,Cooper,Abilene Cooper Powerlifting Meet,Yes
Austin Perkins #2,M,SBD,Single-ply,,,,Boys,53.98,55.7,,,,,117.93,,,,,65.77,,,,,124.74,308.44,4,285.32,291.24,286.18,48.22,Yes,USA,,THSPA,,2015-01-17,USA,TX,ActionZone Abilene,Abilene High Invitational,Yes
Austin Perkins #2,M,SBD,Single-ply,,,,Boys,47.9,51.7,,,,,104.33,,,,,52.16,,,,,106.59,263.08,4,273.24,282.24,279.18,45.60,Yes,USA,,THSPA,,2014-03-08,USA,TX,Midland,Boys Region 1 Division 1,Yes
Austin Perkins #2,M,SBD,Single-ply,,,,Boys,48.44,51.7,,,,,97.52,,,,,52.16,,,,,106.59,256.28,5,263.15,271.52,268.43,43.98,Yes,USA,,THSPA,,2014-02-13,USA,TX,Sweetwater,Mustang Power Classic,Yes
Austin Perkins #2,M,SBD,Single-ply,,,,Boys,47.67,51.7,,,,,90.72,,,,,,,,,,,,DQ,,,,,Yes,USA,,THSPA,,2014-01-28,USA,TX,Madison Middle School Abilene,Abilene Cooper PWL Meet,Yes
Austin Perkins #2,M,SBD,Single-ply,,,,Boys,47.26,51.7,,,,,70.31,,,,,52.16,,,,,90.72,213.19,2,224.53,232.23,229.84,37.41,Yes,USA,,THSPA,,2014-01-18,USA,TX,Mann Middle School,Abilene High Invitational,Yes
