Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Lev Zimbitskyi,M,SBD,Raw,17,16-17,14-18,SOI,79.6,83,50,60,-70,,60,60,67.5,72.5,,72.5,75,87.5,100,,100,232.5,2,160.80,159.23,153.46,32.88,Yes,Ukraine,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Matas Bielskis,M,SBD,Raw,17.5,18-19,14-18,SOI,78.3,83,60,70,85,,85,50,70,75,,75,70,100,120,,120,280,1,195.57,193.81,186.92,39.93,Yes,Lithuania,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Sviatoslav Dombik,M,SBD,Raw,26,24-34,24-39,SOI,64.6,66,80,90,97.5,,97.5,60,67.5,72.5,,72.5,110,120,125,,125,295,1,234.89,235.80,229.37,46.51,Yes,Ukraine,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Masaya Inoue,M,SBD,Raw,31.5,24-34,24-39,Open,147.45,120+,317.5,335,342.5,,342.5,170,-180,-180,,170,250,-275,-277.5,,250,762.5,22,411.94,422.91,400.38,81.46,Yes,Japan,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Tom Thoma,M,SBD,Raw,38,35-39,24-39,Open,112.9,120,250,262.5,270,,270,170,180,185,,185,270,290,-300,,290,745,24,437.02,435.08,416.19,88.98,Yes,Switzerland,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Simon Raw,M,SBD,Raw,31.5,24-34,24-39,Open,118.1,120,245,-257.5,-257.5,,245,190,-197.5,197.5,,197.5,290,305,310,,310,752.5,23,434.49,434.28,416.05,88.09,Yes,South Africa,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Shaniele Suitauloa,F,SBD,Raw,29,24-34,24-39,Open,82.15,84,165,172.5,175,,175,92.5,-97.5,97.5,,97.5,180,187.5,192.5,,192.5,465,21,432.47,419.42,367.23,88.60,Yes,New Zealand,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Nicolette Zeigler,F,SBD,Raw,31.5,24-34,24-39,Open,83.5,84,205,215,222.5,,222.5,120,127.5,130,,130,-237.5,237.5,-242.5,,237.5,590,3,544.44,527.71,461.54,111.68,Yes,USA,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Vitor de Paula,M,SBD,Raw,26.5,24-34,24-39,Open,95.3,105,260,270,275,,275,162.5,172.5,177.5,,177.5,240,260,287.5,,287.5,740,22,465.42,459.65,439.54,95.67,Yes,Brazil,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Martynas Norkus,M,SBD,Raw,28.5,24-34,24-39,Open,101,105,250,265,-270,,265,165,172.5,177.5,,177.5,285,-297.5,300,,300,742.5,20,455.07,450.11,429.84,93.36,Yes,Lithuania,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
