Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Kjell Egil Bakkelund,M,SBD,Single-ply,24.5,24-34,24-39,Open,80.21,83,325,335,-342.5,,335,245,250.5,258,,258,295,310,320,,320,913,1,628.59,622.28,599.51,107.59,Yes,Norway,,EPF,IPF,2013-05-07,Czechia,,Pilsen,European Open Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Single-ply,,,,Open,81.3,83,210,225,240,,240,160,175,190,,190,275,300,,,300,730,1,498.66,493.40,475.06,85.33,Yes,Norway,,NSF,IPF,2012-12-15,Norway,,Bjølsenhallen,Åpent stevne,Yes
Kjell Egil Bakkelund,M,SBD,Single-ply,23.5,24-34,24-39,Open,82,83,325,337.5,342.5,,342.5,235,240,245,,245,300,312.5,-317.5,,312.5,900,5,611.76,605.13,582.41,104.67,Yes,Norway,,IPF,IPF,2012-11-10,Puerto Rico,,Aguadilla,World Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Single-ply,23.5,24-34,24-39,Open,81.92,83,300,312.5,320,,320,230,240,245,,245,290,305,,,305,870,1,591.70,585.30,563.36,101.24,Yes,Norway,,EPF,IPF,2012-09-28,Luxembourg,,Hamm,Western European Championships,Yes
Kjell Egil Bakkelund,M,SBD,Single-ply,,,,Open,82.81,83,320,-330,330,,330,227.5,232.5,237.5,,237.5,300,312.5,-322.5,,312.5,880,1,594.84,588.20,565.87,101.76,Yes,Norway,,NSF,IPF,2012-06-01,Norway,,Brumunddal,NM,Yes
Kjell Egil Bakkelund,M,SBD,Single-ply,,,19-23,Juniors 19-23,82,83,202.5,215,220,,220,155,165,175,,175,250,275,290,,290,685,1,465.62,460.57,443.28,79.67,Yes,Norway,,NSF,IPF,2011-12-10,Norway,,Bjølsenhallen,Åpent stevne,Yes
Kjell Egil Bakkelund,M,SBD,Single-ply,,,19-23,Juniors 19-23,81.4,83,297.5,-325,-325,,297.5,207.5,-227.5,-227.5,,207.5,280,-310,-310,,280,785,1,535.85,530.17,510.44,91.69,Yes,Norway,,NSF,IPF,2011-11-18,Norway,,Sandnes,NM Ungdom Junior Veteran,Yes
Kjell Egil Bakkelund,M,SBD,Single-ply,22.5,20-23,19-23,Juniors,82.05,83,305,317.5,322.5,,322.5,215,220,225,,225,280,292.5,302.5,,302.5,850,1,577.58,571.30,549.84,98.82,Yes,Norway,,IPF,IPF,2011-08-30,Canada,SK,Moose Jaw,World Sub-Juniors & Juniors Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Single-ply,22.5,20-23,19-23,Juniors,82.3,83,300,307.5,315,,315,215,220,225,,225,265,277.5,285,,285,825,2,559.62,553.48,532.61,95.74,Yes,Norway,,EPF,IPF,2011-06-11,England,,Northumberland,European Junior & Sub-Junior Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,B,Single-ply,,,19-23,Juniors 19-23,82.74,83,,,,,,212.5,217.5,222.5,,222.5,,,,,,222.5,1,150.47,148.80,143.15,79.37,Yes,Norway,,NSF,IPF,2011-03-26,Norway,,Oslo,NM Benkpress,Yes
