Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jooa Toivonen,M,B,Raw,15.5,16-17,14-18,Sub-Juniors,92.65,93,,,,,,110,117.5,130,,130,,,,,,130,4,82.86,81.81,78.31,61.79,Yes,Finland,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
David Syrotchen,M,B,Raw,16,16-17,14-18,Sub-Juniors,88.65,93,,,,,,142.5,-147.5,155,,155,,,,,,155,1,101.00,99.73,95.64,75.30,Yes,USA,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Andyn Grubb,M,B,Raw,16.5,16-17,14-18,Sub-Juniors,64.95,66,,,,,,-120,120,-135,,120,,,,,,120,2,95.16,95.49,92.86,68.66,Yes,USA,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Daniel Haroon,M,B,Raw,16.5,16-17,14-18,Sub-Juniors,109.35,120,,,,,,125,137.5,147.5,,147.5,,,,,,147.5,2,87.56,86.96,83.10,64.83,Yes,USA,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Antonio Pena,M,B,Raw,18,18-19,14-18,Sub-Juniors,54.6,59,,,,,,77.5,87.5,92.5,,92.5,,,,,,92.5,3,84.68,86.34,84.78,58.29,Yes,Mexico,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Terrin Howard,M,B,Raw,19,18-19,19-23,Juniors,105.55,120,,,,,,152.5,157.5,-160,,157.5,,,,,,157.5,5,94.79,93.94,89.71,70.35,Yes,USA,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
William Holloway,M,B,Raw,21.5,20-23,19-23,Juniors,86.35,93,,,,,,152.5,162.5,167.5,,167.5,,,,,,167.5,5,110.65,109.30,104.95,82.46,Yes,USA,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Rian Smit,M,B,Raw,21.5,20-23,19-23,Juniors,104.35,105,,,,,,180,187.5,-195,,187.5,,,,,,187.5,8,113.37,112.29,107.22,84.20,Yes,Netherlands,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Kento Mori,M,B,Raw,22.5,20-23,19-23,Juniors,65.25,66,,,,,,145,152.5,160,,160,,,,,,160,2,126.44,126.82,123.30,91.32,Yes,Japan,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Natsuki Suzaki,M,B,Raw,22.5,20-23,19-23,Juniors,73.2,74,,,,,,155,160,170,,170,,,,,,170,3,123.90,123.24,119.20,91.19,Yes,Japan,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Andrew Carrithers,M,B,Raw,22.5,20-23,19-23,Juniors,161.9,120+,,,,,,197.5,207.5,-217.5,,207.5,,,,,,207.5,5,109.36,113.55,106.42,78.02,Yes,USA,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Thomas Roels,M,B,Raw,24,24-34,24-39,Open,65.95,66,,,,,,145,150,157.5,,157.5,,,,,,157.5,4,123.47,123.75,120.25,89.37,Yes,Belgium,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Izhak Flores,M,B,Raw,26.5,24-34,24-39,Open,92.5,93,,,,,,160,170,177.5,,177.5,,,,,,177.5,13,113.23,111.79,107.02,84.44,Yes,Mexico,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Shu Hamaguchi,M,B,Raw,27.5,24-34,24-39,Open,58.25,59,,,,,,165,-170,-176,,165,,,,,,165,2,142.75,144.64,141.48,100.27,Yes,Japan,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Tinh Nguyen,M,B,Raw,27.5,24-34,24-39,Open,138.95,120+,,,,,,205,220,-230,,220,,,,,,220,9,120.82,123.08,117.05,87.43,Yes,Australia,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
