Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
William Ball #1,M,SBD,Raw,21,20-23,19-23,Juniors 20-23,126.1,140,,,,,165,,,,,125,,,,,200,490,1,276.95,278.73,266.69,55.76,,USA,VA,USPA,IPL,2018-02-17,USA,VA,Norfolk,SixKiller Odin's Fury,Yes
William Ball #1,M,SBD,Raw,20.5,20-23,19-23,MR-O,119.4,120,140,152.5,160,,160,97.5,107.5,-112.5,,107.5,170,187.5,-200,,187.5,455,8,261.75,261.90,250.95,53.01,Yes,USA,VA,USAPL,IPF,2017-06-10,USA,VA,,2nd Annual Battle at the Beach,Yes
William Ball #1,M,SBD,Raw,20.5,20-23,19-23,MR-Jr,127,120+,142.5,152.5,157.5,,157.5,92.5,105,-115,,105,170,185,192.5,,192.5,455,2,256.60,258.47,247.21,51.62,Yes,USA,VA,USAPL,IPF,2017-02-25,USA,VA,,Virginia State Championship,Yes
