Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Pedro Henrique Pedrosa,M,SBD,Raw,22.5,20-23,19-23,University,136.5,120+,220,235,242.5,,242.5,142.5,150,-152.5,,150,220,240,260,,260,652.5,1,360.16,366.04,348.54,71.85,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Pedro Souza,M,SBD,Raw,23.5,24-34,24-39,University,111.5,120,-225,225,232.5,,232.5,145,150,160,,160,-280,300,-312.5,,300,692.5,1,408.08,405.88,388.08,83.17,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Kayque Nogueira,M,SBD,Raw,23.5,24-34,24-39,University,103.4,105,-225,-225,-225,,-225,135,140,-145,,140,265,285,-300,,285,,DQ,,,,,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Soraia Dario,F,SBD,Raw,21.5,20-23,19-23,University,61.2,63,100,105,110,,110,57.5,62.5,65,,65,125,132.5,-150,,132.5,307.5,2,336.67,337.63,298.24,68.57,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Maria Braga,F,SBD,Raw,23.5,24-34,24-39,University,61.2,63,105,-110,110,,110,60,65,-67.5,,65,130,142.5,147.5,,147.5,322.5,1,353.10,354.10,312.79,71.92,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Luis Carlos Hallier,M,B,Single-ply,56.5,55-59,50-59,Masters 2,80.6,83,,,,,,75,-140,-140,,75,,,,,,75,1,51.49,50.96,49.09,27.27,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Jose Adenilton Fonseca,M,B,Single-ply,53.5,50-54,50-59,Masters 2,73.6,74,,,,,,-125,-125,127.5,,127.5,,,,,,127.5,1,92.59,92.07,89.03,49.88,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Rafaga Mello,F,B,Single-ply,38.5,35-39,24-39,Open,108.6,84+,,,,,,97.5,102.5,-107.5,,102.5,,,,,,102.5,1,84.86,83.57,71.17,49.49,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Carlos Emidio,M,B,Raw,41.5,40-44,40-49,Open,144.3,120+,,,,,,190,200,-210,,200,,,,,,200,1,108.69,111.27,105.51,78.35,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Marco Silva Junior,M,B,Raw,43.5,40-44,40-49,Masters 1,101.8,105,,,,,,180,-185,-185,,180,,,,,,180,1,109.95,108.79,103.88,81.77,Yes,Brazil,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
Jose Pijorro Cruz Alvarez,M,B,Raw,59.5,55-59,60-69,Masters 3,91.1,93,,,,,,-122.5,-131,-131,,-122.5,,,,,,,DQ,,,,,Yes,Uruguay,,FESUPO,IPF,2025-09-20,Brazil,,Porto Belo,Campeonato Sudamericano,Yes
